Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss_per_User
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,260.66
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,118.57
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16,266.01
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,28.77
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29,63.15
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,46.25
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66,69.75
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,2760.85
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,63.53
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,93.84
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56,111.28
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12,1078.08
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,26.67
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,90.94
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20,24.15
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66,11.4
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,94.91
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5,64.03
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54,115.72
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27,72.99
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,200.69
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,64.05
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,208.78
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69,96.54
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4,113.5
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,108.68
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3,148.42
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41,119.56
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,207.58
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,1.58
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,382.83
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1,446.23
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,150.22
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36,290.17
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49,23.45
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,48.87
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25,36.54
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,493.21
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30,88.93
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35,1089.03
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41,11.75
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19,104.26
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41,10.9
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10,11.23
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,108.64
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,535.53
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35,10.99
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51,216.28
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55,325.22
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57,73.93
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,121.55
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25,81.76
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34,40.86
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25,80.49
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24,90.95
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,97.79
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40,147.83
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,189.57
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71,264.36
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,119.56
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35,180.31
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23,191.05
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,115.65
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,244.67
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,418.49
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,50.66
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61,269.17
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,965.99
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,300.76
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,37169.81
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64,83.66
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,376.51
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12,35.71
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37,92.67
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68,276.03
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2,286.41
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,10383.52
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,141.78
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72,79.16
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38,68.39
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,74.48
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,48.03
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,88.38
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,67.5
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22,50.84
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35,118.9
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51,90.36
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,73.29
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,84.66
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64,531.18
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69,4.65
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,828.09
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31,36.75
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45,78.04
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38,186.24
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55,133.87
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,195.11
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11,39.58
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20,283.75
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69,44.85
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20,200.43
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22,77.56
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,16.83
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11,160.97
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15,16.66
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54,67.16
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39,42.29
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63,128.28
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34,74.63
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51,99.03
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50,33.45
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,14.59
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52,10.14
UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45,30407.52
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42,926.33
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,34.69
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30,121.72
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35,137.16
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58,47.1
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16,0.62
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,337.33
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,148.52
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56,88.58
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39,172.18
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,424.44
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,99.65
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71,68.22
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70,97.68
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38,114.95
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29,540.96
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41,92.05
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6,85.87
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48,68.7
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29,516.53
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64,89.13
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,76.89
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24,2.29
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44,18.89
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5,403.76
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58,367.93
UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17,387.89
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10,106.12
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48,76.96
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67,363.08
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58,28.63
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37,90.8
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51,22.88
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9,64.97
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43,41.29
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27,105.44
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21,150.29
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26,73.02
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12,90.69
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72,222.44
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43,53.57
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61,65.84
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47,103.74
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57,229.27
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33,76.11
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58,736.11
Russia,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19,126.38
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4,32.52
UK,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14,1210.38
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11,450.45
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10,132.38
France,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28,37.5
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66,81.81
Australia,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36,184.13
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2,74.71
Japan,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60,82.24
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66,103.13
Brazil,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44,73.63
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26,17.32
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69,208.56
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41,21.73
UK,2023,DDoS,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26,163.0
India,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54,338.35
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67,151.95
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37,144.06
India,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72,80.78
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22,496.16
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53,367.24
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44,12.61
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64,64.39
Japan,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25,157.73
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8,333.63
Russia,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32,112.74
China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49,109.7
UK,2016,SQL Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30,35.31
Japan,2018,Ransomware,Retail,48.0,187730,Nation-state,Weak Passwords,AI-based Detection,26,255.69
France,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69,13596.65
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56,20.63
UK,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29,118.02
Brazil,2021,SQL Injection,Healthcare,54.59,437634,Unknown,Weak Passwords,AI-based Detection,29,124.74
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53,780.29
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71,61.35
Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4,85.1
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22,160.36
China,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26,119.45
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48,202.5
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49,4.77
China,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67,388.6
Russia,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53,86.71
Japan,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49,67.07
India,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14,59.32
Russia,2018,Malware,Healthcare,40.66,90640,Unknown,Social Engineering,Encryption,56,448.59
Russia,2022,Ransomware,Retail,76.93,449596,Unknown,Unpatched Software,AI-based Detection,3,171.11
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40,283.44
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53,103.06
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,Social Engineering,Encryption,63,100.64
France,2017,Malware,Education,3.21,342049,Nation-state,Unpatched Software,AI-based Detection,31,9.38
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55,311.62
India,2019,Man-in-the-Middle,Education,27.45,633466,Unknown,Zero-day,AI-based Detection,16,43.33
USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43,193.6
France,2017,DDoS,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44,261.29
Russia,2023,SQL Injection,Telecommunications,3.66,702942,Nation-state,Unpatched Software,AI-based Detection,34,5.21
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34,6418.56
UK,2017,SQL Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69,8810.97
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48,2420.91
India,2018,Man-in-the-Middle,Healthcare,94.6,7347,Insider,Zero-day,AI-based Detection,7,12876.0
